THÔNG TIN SP,,,,,,,,PHÂN LOẠI,GIÁ SX,TỒN KHO,,
PO88,PO88-XAM-XXL,PO88,XÁM,XXL,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO88,PO88-XANHLA-M,PO88,XANH LÁ,M,,,,KHÔNG RESTOCK,1,0,0 đ,
PO88,PO88-XANHLA-L,PO88,XANH LÁ,L,,,,KHÔNG RESTOCK,1,0,0 đ,
PO88,PO88-XANHLA-XL,PO88,XANH LÁ,XL,,,,KHÔNG RESTOCK,1,0,0 đ,
PO88,PO88-XANHLA-XXL,PO88,XANH LÁ,XXL,,,,KHÔNG RESTOCK,1,0,0 đ,
PO88,PO88-XANHNHAT-M,PO88,XANH NHẠT,M,,,,KHÔNG RESTOCK,1,0,0 đ,
PO88,PO88-XANHNHAT-L,PO88,XANH NHẠT,L,,,,KHÔNG RESTOCK,1,0,0 đ,
PO88,PO88-XANHNHAT-XL,PO88,XANH NHẠT,XL,,,,KHÔNG RESTOCK,1,0,0 đ,
PO88,PO88-XANHNHAT-XXL,PO88,XANH NHẠT,XXL,,,,KHÔNG RESTOCK,1,0,0 đ,
PO88,PO88-DO-M,PO88,ĐỎ ĐÔ,M,,,,KHÔNG RESTOCK,1,0,0 đ,
PO88,PO88-DO-L,PO88,ĐỎ ĐÔ,L,,,,KHÔNG RESTOCK,1,0,0 đ,
PO88,PO88-DO-XL,PO88,ĐỎ ĐÔ,XL,,,,KHÔNG RESTOCK,1,0,0 đ,
PO88,PO88-DO-XXL,PO88,ĐỎ ĐÔ,XXL,,,,KHÔNG RESTOCK,1,0,0 đ,
PO88,PO88-HONG-M,PO88,HỒNG,M,,,,KHÔNG RESTOCK,1,41,"4,387,000 đ",
PO88,PO88-HONG-L,PO88,HỒNG,L,,,,KHÔNG RESTOCK,1,12,"1,284,000 đ",
PO88,PO88-HONG-XL,PO88,HỒNG,XL,,,,KHÔNG RESTOCK,1,97,"10,379,000 đ",
PO88,PO88-HONG-XXL,PO88,HỒNG,XXL,,,,KHÔNG RESTOCK,1,96,"10,272,000 đ",
PO88,PO88-XAMXANH-M,PO88,XÁM XANH,M,,,,KHÔNG RESTOCK,1,0,0 đ,
PO88,PO88-XAMXANH-L,PO88,XÁM XANH,L,,,,KHÔNG RESTOCK,1,1,"107,000 đ",
PO88,PO88-XAMXANH-XL,PO88,XÁM XANH,XL,,,,KHÔNG RESTOCK,1,0,0 đ,
PO88,PO88-XAMXANH-XXL,PO88,XÁM XANH,XXL,,,,KHÔNG RESTOCK,1,0,0 đ,
PO88,PO88-CAFE-M,PO88,CAFE,M,,,,KHÔNG RESTOCK,0,335,"35,845,000 đ",
PO88,PO88-CAFE-L,PO88,CAFE,L,,,,KHÔNG RESTOCK,1,74,"7,918,000 đ",
PO88,PO88-CAFE-XL,PO88,CAFE,XL,,,,KHÔNG RESTOCK,0,114,"12,198,000 đ",
PO88,PO88-CAFE-XXL,PO88,CAFE,XXL,,,,KHÔNG RESTOCK,0,150,"16,050,000 đ",
PO88,PO88-XAMDAM-M,PO88,XÁM ĐẬM,M,,,,,0,169,"18,083,000 đ",
PO88,PO88-XAMDAM-L,PO88,XÁM ĐẬM,L,,,,,0,109,"11,663,000 đ",
PO88,PO88-XAMDAM-XL,PO88,XÁM ĐẬM,XL,,,,,0,131,"14,017,000 đ",
PO88,PO88-XAMDAM-XXL,PO88,XÁM ĐẬM,XXL,,,,,0,109,"11,663,000 đ",
PO88,PO88-KEMNHAT-M,PO88,KEM NHẠT,M,,,,,0,662,"70,834,000 đ",
PO88,PO88-KEMNHAT-L,PO88,KEM NHẠT,L,,,,,0,534,"57,138,000 đ",
PO88,PO88-KEMNHAT-XL,PO88,KEM NHẠT,XL,,,,,0,532,"56,924,000 đ",
PO88,PO88-KEMNHAT-XXL,PO88,KEM NHẠT,XXL,,,,,0,500,"53,500,000 đ",
PO88,PO88-BENHAT-M,PO88,BE NHẠT,M,,,,,0,144,"15,408,000 đ",
PO88,PO88-BENHAT-L,PO88,BE NHẠT,L,,,,,0,112,"11,984,000 đ",
PO88,PO88-BENHAT-XL,PO88,BE NHẠT,XL,,,,,0,118,"12,626,000 đ",
PO88,PO88-BENHAT-XXL,PO88,BE NHẠT,XXL,,,,,0,103,"11,021,000 đ",
